ID,Область,Місто/СМТ,Категорія,Назва,Адреса,Телефон,Ціна,Instagram,Google Maps,Басейн,Будинок,Альтанка,Чан,Сауна/Баня,Рибалка,Для двох,Для компанії,Басейн сезонний,Басейн цілорічний
1,Вінницька,Стрижавка,Готельно-рестораний комплекс,Гостевія,"Урочище таборів відпочинку,1",096-507-10-22   099-507-12-22,"від 1000,00 грн/доба",https://www.instagram.com/gosteviya/,"https://www.google.com.ua/maps/place/%D0%9A%D0%BE%D0%BC%D0%BF%D0%BB%D0%B5%D0%BA%D1%81+%D0%B2%D1%96%D0%B4%D0%BF%D0%BE%D1%87%D0%B8%D0%BD%D0%BA%D1%83+%22%D0%93%D0%BE%D1%81%D1%82%D0%B5%D0%B2%D1%96%D1%8F%22/@49.348382,28.5093036,17z/data=!4m9!1m2!2m1!1z0LPQvtGB0YLQtdCy0ZbRjw!3m5!1s0x472d41925ad30fd1:0x8c2c893e5c2e20c5!8m2!3d49.3482344!4d28.5127643!15sChDQs9C-0YHRgtC10LLRltGPkgEQYW11c2VtZW50X2NlbnRlcuABAA?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,так,так,ні,так,так,ні,ні
2,Вінницька,Комарів,База відпочинку,Комарово,"вул. Савчука, 20",097-502-07-07  098-317-72-21 067-293-73-25 098-069-96-99,"від 2000,00 грн/доба",https://www.instagram.com/comarovo_club/,"https://www.google.com.ua/maps/place/%22Komarovo%22+Baza+Vidpochynku+Ta+Rybolovli/@49.140353,28.6784531,17z/data=!4m14!1m7!3m6!1s0x472d53e4359cb46d:0xbe29de32b384a006!2s%22Komarovo%22+Baza+Vidpochynku+Ta+Rybolovli!8m2!3d49.140353!4d28.681028!16s%2Fg%2F11bt_j7p70!3m5!1s0x472d53e4359cb46d:0xbe29de32b384a006!8m2!3d49.140353!4d28.681028!16s%2Fg%2F11bt_j7p70?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",так,так,так,так,так,так,так,так,так,ні
3,Вінницька,Стрижавка,База відпочинку,Зачароване озеро,"Урочище таборів відпочинку,1",066-000-22-22 067-195-97-04,"від 1500,00 грн/доба",https://www.instagram.com/zacharovane_ozero/,"https://www.google.com/maps/place/%D0%97%D0%B0%D1%87%D0%B0%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B5+%D0%BE%D0%B7%D0%B5%D1%80%D0%BE/@49.3476223,28.5009243,17z/data=!3m1!4b1!4m6!3m5!1s0x472d4180f19a951b:0xd918aaf2cdbb04ab!8m2!3d49.3476223!4d28.5034992!16s%2Fg%2F11by_x55b_?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",так,так,так,так,так,ні,так,так,так,ні
4,Вінницька,Стрижавка,Готельно-рестораний комплекс,Дубовий гай Казка,"Урочище таборів відпочинку,1",093-696-04-02 096-696-04-02,"від 2000,00 грн/доба",https://www.instagram.com/kazka_restaurant_and_hotel?igshid=YmMyMTA2M2Y%3D,google.com/maps?vet=10CAAQoqAOahcKEwjogP_cicGVAxUAAAAAHQAAAAAQMg..i&pvq=CgwvZy8xcHAydHpiNDM&fvr=1&cs=1&um=1&ie=UTF-8&fb=1&gl=ua&sa=X&ftid=0x472d422ed8918723:0x1f057e3f48b7b2ab,ні,так,так,ні,так,ні,так,так,ні,ні
5,Вінницька,Сосонка,База відпочинку,RichPark,вул. Миру,096-098-95-95,"від 4500,00 грн/доба",https://www.instagram.com/rich.park.vin/,"google.com/maps?q=вулиця+Миру,+Сосонка,+Вінницька+область,+Україна",так,так,так,так,так,так,так,так,так,ні
6,Вінницька,Стрижавка,Басейн коплекс,Lastivka,"вул. Туристична, 2",068-323-33-53,,https://www.instagram.com/lastivka.residence.vn/,"google.com/maps?q=вулиця+Туристична,+2,+Стрижавка,+Вінницька+область,+Україна",так,ні,так,ні,так,ні,так,так,так,ні
7,Вінницька,Стрижавка,База відпочинку,Верховина,вул. Першотравнева,098-700-31-66,"від 3000,00 грн/доба",https://www.instagram.com/verhovyna_residence/,"https://www.google.com/maps/place/%D0%91%D0%B0%D0%B7%D0%B0+%D0%B2%D1%96%D0%B4%D0%BF%D0%BE%D1%87%D0%B8%D0%BD%D0%BA%D1%83+%C2%AB%D0%92%D0%B5%D1%80%D1%85%D0%BE%D0%B2%D0%B8%D0%BD%D0%B0%C2%BB/@49.3129897,28.4558086,17z/data=!3m1!4b1!4m6!3m5!1s0x472d430003634afb:0xb8224e7dd12c1cfd!8m2!3d49.3129897!4d28.4558086!16s%2Fg%2F11w2_g4wxr?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",так,так,ні,ні,ні,ні,так,ні,так,ні
8,Вінницька,Стадниця,База відпочинку,На Яру,"вул. Молодіжна, 46",097-967-74-49 063-106-18-55,"від 2000,00 грн/доба",https://www.instagram.com/na.yaru.vn/,"https://www.google.com/maps/place/%D0%B2%D1%83%D0%BB%D0%B8%D1%86%D1%8F+%D0%9C%D0%BE%D0%BB%D0%BE%D0%B4%D1%96%D0%B6%D0%BD%D0%B0,+46,+%D0%A1%D1%82%D0%B0%D0%B4%D0%BD%D0%B8%D1%86%D1%8F,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+23241/@49.2759498,28.6042625,17z/data=!3m1!4b1!4m6!3m5!1s0x472d45a0c32db0af:0x53e1197acb660111!8m2!3d49.2759498!4d28.6068374!16s%2Fg%2F11grv93fdt?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",так,так,так,так,так,ні,так,так,так,ні
9,Вінницька,Слобода-Дашковецька,Заміський комплекс,Трава,"вул. Гуменюка, 52",063-433-13-88,"від 6000,00 грн/доба",https://www.instagram.com/trava_vinnitsa/,"https://www.google.com/maps/place/%D0%B2%D1%83%D0%BB%D0%B8%D1%86%D1%8F+%D0%93%D1%83%D0%BC%D0%B5%D0%BD%D1%8E%D0%BA%D0%B0,+52,+%D0%A1%D0%BB%D0%BE%D0%B1%D0%BE%D0%B4%D0%B0-%D0%94%D0%B0%D1%88%D0%BA%D0%BE%D0%B2%D0%B5%D1%86%D1%8C%D0%BA%D0%B0,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+23224/@49.2493822,28.278428,17z/data=!3m1!4b1!4m5!3m4!1s0x472d673deb1584c1:0xfa0c7749735579e6!8m2!3d49.2493822!4d28.2810029?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",так,так,так,ні,так,ні,так,так,так,ні
10,Вінницька,Лука-Мелешківська,База відпочинку,Кльове Місце,Тиврівське шосе,067-911-95-14,"від 1700,00 грн/доба",https://www.instagram.com/klevoemesto.vn.ua/,"https://www.google.com.ua/maps/place/%D0%91%D0%92+%C2%AB%D0%9A%D0%BB%D1%8C%D0%BE%D0%B2%D0%B5+%D0%BC%D1%96%D1%81%D1%86%D0%B5%C2%BB/@49.138035,28.5352699,15z/data=!4m6!3m5!1s0x472d576ab6e4a8c5:0xc341d303bf061438!8m2!3d49.138035!4d28.5352699!16s%2Fg%2F12hm_xl09?entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",так,так,так,так,так,так,ні,так,так,ні
